Organism,VEuPathDB Project,Genome Source,Genome Version/Assembly ID,Structural Annotation Version,Is Reference Strain,Contigs,Supercontigs,Chromosomes,Protein coding genes,Non Protein coding genes,Pseudogenes,User comments,Orthologs,GO terms,EC#,NCBI taxon ID,Organellar genome(s),Search Weight,Mega base Pairs,Structural Annotation Source,Species,Strain,ChIP chip,ESTs,Genes,Microarray,Popset Sequences,Proteomics
Saccharomyces cerevisiae S288C,FungiDB,GenBank,GCA_000146045.2,"Jul 12, 2013",yes,0,0,16,5907,443,18,6,5907,5907,1776,559292,yes,10,   12.16,SGD,Saccharomyces cerevisiae,S288C,N/A,3896,6350,5560,94936,N/A
Blastomyces dermatitidis ER-3,FungiDB,INSDC,GCA_000003525.2,"Jun 02, 2016",yes,0,27,0,9755,326,194,N/A,9755,5730,1092,559297,no,10,   66.61,GenBank,Blastomyces dermatitidis,ER-3,N/A,N/A,10081,N/A,859,N/A
Blastomyces gilchristii SLH14081,FungiDB,INSDC,GCA_000003855.2,"Jun 02, 2016",yes,0,103,0,9692,456,306,N/A,9692,5806,1091,559298,no,10,   75.40,GenBank,Blastomyces gilchristii,SLH14081,N/A,N/A,10148,N/A,840,N/A
Trichophyton rubrum CBS 118892,FungiDB,INSDC,GCA_000151425.1,"Mar 12, 2015",yes,0,36,0,8616,97,1,N/A,8616,5536,847,559305,no,10,   22.53,GenBank,Trichophyton rubrum,CBS 118892,N/A,5744,8713,N/A,8034,N/A
Hyaloperonospora arabidopsidis Emoy2,FungiDB,GenBank,GCA_000173235.2,"Mar 02, 2016",yes,0,3044,0,13982,285,0,N/A,13982,6179,1029,559515,no,10,   78.90,Ensembl,Hyaloperonospora arabidopsidis,Emoy2,N/A,N/A,14267,N/A,564,N/A
Neospora caninum Liverpool,ToxoDB,GenBank,GCA_000208865.2,"Feb 27, 2015",yes,52,0,14,7112,154,0,159,7112,4441,623,572307,no,10,   59.10,GenBank,Neospora caninum,Liverpool,N/A,2599,7266,N/A,5199,2347
Plasmodium falciparum 7G8,PlasmoDB,GenBank,GCA_000150435.3,"Apr 20, 2018",no,1,0,14,5183,322,161,9,5183,3105,1086,57266,yes,10,   22.83,Sanger,Plasmodium falciparum,7G8,N/A,4015,5505,N/A,106141,N/A
Plasmodium falciparum Dd2,PlasmoDB,GenBank,GCA_900632045.1,"Apr 20, 2018",no,0,0,14,5209,252,118,11,5209,2744,1087,57267,yes,10,   22.68,Sanger,Plasmodium falciparum,Dd2,N/A,3993,5461,N/A,106204,N/A
Thermothelomyces thermophilus ATCC 42464,FungiDB,INSDC,GCA_000226095.1,"Sep 02, 2014",yes,0,0,7,9097,195,3,N/A,9097,6070,1189,573729,no,10,   38.74,GenBank,Thermothelomyces thermophilus,ATCC 42464,N/A,4396,9292,N/A,94,N/A
Candida dubliniensis CD36,FungiDB,INSDC,GCA_000026945.1,"Feb 27, 2015",yes,0,0,8,5860,235,123,N/A,5860,4638,1415,573826,no,10,   14.62,GenBank,Candida dubliniensis,CD36,N/A,N/A,6095,N/A,10905,N/A
Candida parapsilosis CDC317,FungiDB,GenBank,GCA_000182765.2,s01-m03-r30,yes,0,0,8,5837,147,0,N/A,5837,5837,936,578454,yes,10,   13.03,CGD,Candida parapsilosis,CDC317,N/A,N/A,5984,N/A,18630,N/A
Tremella mesenterica DSM 1558,FungiDB,GenBank,GCA_000271645.1,"Mar 18, 2015",yes,0,45,0,8308,1,0,N/A,8308,4088,556,578456,no,10,   28.64,GenBank,Tremella mesenterica,DSM 1558,N/A,2720,8309,N/A,529,N/A
Nosema ceranae BRL01,MicrosporidiaDB,GenBank,GCA_000182985.1,"Jun 9, 2009",yes,5465,0,0,2060,618,554,N/A,2060,1191,210,578460,no,10,    7.86,GenBank,Nosema ceranae,BRL01,N/A,N/A,2678,N/A,1917,N/A
Nosema bombycis CQ1,MicrosporidiaDB,GenBank,GCA_000383075.1,"Mar 21, 2015",yes,0,1607,0,4468,0,0,N/A,4468,2446,316,578461,no,10,   15.69,GenBank,Nosema bombycis,CQ1,N/A,N/A,4468,N/A,819,N/A
Allomyces macrogynus ATCC 38327,FungiDB,GenBank,GCA_000151295.1,"Jul 31, 2015",yes,0,101,0,18798,535,0,N/A,18798,11948,1989,578462,yes,10,   57.12,GenBank,Allomyces macrogynus,ATCC 38327,N/A,1896,19333,N/A,17,N/A
Plasmodium berghei ANKA,PlasmoDB,GenBank,GCA_900002375.2,"Sep 01, 2020",yes,5,0,14,4945,309,132,169,4945,3668,792,5823,yes,10,   18.78,GeneDB,Plasmodium berghei,ANKA,N/A,4238,5254,5025,75794,2931
Plasmodium falciparum NF54,PlasmoDB,INSDC,GCA_009761475.1,N/A,no,0,28,0,5273,336,229,N/A,5273,3479,59,5843,yes,10,   23.40,N/A,Plasmodium falciparum,NF54,N/A,4038,5609,N/A,103240,N/A
Plasmodium knowlesi strain H,PlasmoDB,GenBank,GCA_000006355.3,"Sep 01, 2020",yes,148,0,14,5328,174,12,197,5328,3728,839,5851,yes,10,   24.40,GeneDB,Plasmodium knowlesi,strain H,N/A,N/A,5502,4825,75185,N/A
Giardia Assemblage B isolate GS,GiardiaDB,GenBank,GCA_000182405.1,"Jul 13, 2009",no,2931,0,0,4470,92,0,31,4470,2571,189,598745,no,10,   11.00,GenBank,Giardia Assemblage B,isolate GS,N/A,56,4562,N/A,14103,2154
Aspergillus carbonarius ITEM 5010,FungiDB,GenBank,GCA_001990825.1,"Feb 15, 2017",yes,0,829,0,11475,260,0,N/A,11475,8002,1504,602072,no,10,   36.15,GenBank,Aspergillus carbonarius,ITEM 5010,N/A,189,11735,N/A,64411,N/A
Puccinia triticina 1-1 BBBD Race 1,FungiDB,GenBank,GCA_000151525.2,"Jun 06, 2016",yes,14818,0,0,14878,814,0,N/A,14878,6277,1127,630390,no,10,  135.34,GenBank,Puccinia triticina,1-1 BBBD Race 1,N/A,2791,15692,N/A,24752,N/A
Gaeumannomyces tritici R3-111a-1,FungiDB,INSDC,GCA_000145635.1,"Mar 13, 2015",yes,0,513,0,14458,291,80,N/A,14458,7746,1006,644352,yes,10,   43.77,GenBank,Gaeumannomyces tritici,R3-111a-1,N/A,N/A,14749,N/A,8552,N/A
Magnaporthiopsis poae ATCC 64411,FungiDB,INSDC,GCA_000193285.1,"Jun 17, 2015",yes,0,205,0,12163,200,9,N/A,12163,6856,858,644358,yes,10,   39.64,GenBank,Magnaporthiopsis poae,ATCC 64411,N/A,N/A,12363,N/A,428,N/A
Colletotrichum graminicola M1.001,FungiDB,INSDC,GCA_000149035.1,"Jul 24, 2016",yes,0,653,0,12020,380,1,N/A,12020,8131,1119,645133,yes,10,   51.64,GenBank,Colletotrichum graminicola,M1.001,N/A,925,12400,N/A,153164,N/A
Spizellomyces punctatus DAOM BR117,FungiDB,GenBank,GCA_000182565.2,"Jul 29, 2015",yes,0,38,0,8950,219,0,3,8950,6333,1096,645134,no,10,   24.13,GenBank,Spizellomyces punctatus,DAOM BR117,N/A,1411,9169,N/A,15,N/A
Trichophyton tonsurans CBS 112818,FungiDB,INSDC,GCA_000151455.1,"Jul 24, 2016",yes,0,111,0,8521,104,4,N/A,8521,5781,887,647933,no,10,   22.99,GenBank,Trichophyton tonsurans,CBS 112818,N/A,N/A,8625,N/A,13875,N/A
Hamiltosporidium tvaerminnensis OER-3-3,MicrosporidiaDB,GenBank,GCA_000180835.1,"Apr 28, 2012",yes,41786,0,0,0,0,0,N/A,N/A,N/A,N/A,657448,no,10,   13.27,GenBank,Hamiltosporidium tvaerminnensis,OER-3-3,N/A,N/A,N/A,N/A,N/A,N/A
Pseudogymnoascus destructans 20631-21,FungiDB,INSDC,GCA_000184105.1,"Mar 13, 2015",yes,0,1846,0,9075,150,2,N/A,9075,5668,847,658429,yes,10,   30.68,GenBank,Pseudogymnoascus destructans,20631-21,N/A,N/A,9225,N/A,11545,N/A
Giardia Assemblage E isolate P15,GiardiaDB,GenBank,GCA_000182665.1,"Oct 05, 2010",no,820,0,0,5007,152,60,6,5007,2947,193,658858,no,10,   11.52,GenBank,Giardia Assemblage E,isolate P15,N/A,942,5159,N/A,14422,N/A
Fusarium oxysporum f. sp. conglutinans Fo5176,FungiDB,INSDC,GCA_014154955.1,"Aug 11, 2020",no,0,4,15,17912,0,0,N/A,17912,10428,7,660025,no,10,   67.98,GenBank,Fusarium oxysporum,f. sp. conglutinans Fo5176,N/A,1846,17912,N/A,109393,N/A
Fusarium oxysporum Fo47,FungiDB,GenBank,GCA_000271705.2,"Aug 11, 2014",no,0,124,0,18191,365,0,8,18191,10912,1793,660027,no,10,   49.66,GenBank,Fusarium oxysporum,Fo47,N/A,2644,18556,N/A,120423,N/A
Fusarium oxysporum NRRL 32931,FungiDB,GenBank,GCA_000271745.2,"Mar 18, 2015",no,0,168,0,17280,362,7,N/A,17280,8578,1692,660029,no,10,   47.91,GenBank,Fusarium oxysporum,NRRL 32931,N/A,2645,17642,N/A,119866,N/A
Sclerotinia sclerotiorum 1980 UF-70,FungiDB,GenBank,GCA_001857865.1,"Oct 31, 2016",yes,0,0,16,11130,238,0,4,11130,7328,1242,665079,no,10,   38.91,GenBank,Sclerotinia sclerotiorum,1980 UF-70,N/A,1009,11368,N/A,44641,N/A
Trypanosoma brucei gambiense DAL972,TriTrypDB,GenBank,GCA_000210295.1,"May 28, 2016",no,0,0,11,7857,225,131,35,7857,6557,798,679716,no,10,   22.15,GeneDB,Trypanosoma brucei,gambiense DAL972,N/A,1013,8082,N/A,33849,N/A
Aspergillus aculeatus ATCC 16872,FungiDB,GenBank,GCA_001890905.1,"Dec 08, 2016",yes,0,660,0,10843,322,0,N/A,10843,7861,1459,690307,no,10,   35.42,GenBank,Aspergillus aculeatus,ATCC 16872,N/A,N/A,11165,N/A,67768,N/A
Saprolegnia parasitica CBS 223.65,FungiDB,GenBank,GCA_000151545.2,"Mar 23, 2015",yes,0,1442,0,20121,314,0,3,20121,12261,1440,695850,yes,10,   53.13,GenBank,Saprolegnia parasitica,CBS 223.65,N/A,849,20435,N/A,4549,N/A
Naegleria gruberi strain NEG-M,AmoebaDB,INSDC,GCA_000004985.1,"Dec 23, 2009",yes,0,784,0,15709,911,0,14,15709,7555,1012,744533,no,10,   40.96,INSDC,Naegleria gruberi,strain NEG-M,N/A,4675,16620,N/A,14382,N/A
Rhizophagus irregularis DAOM 181602=DAOM 197198,FungiDB,GenBank,GCA_000439145.3,"Jan 30, 2018",yes,1111,0,0,26143,102,0,N/A,26143,13675,1237,747089,no,10,  136.73,GenBank,Rhizophagus irregularis,DAOM 181602=DAOM 197198,N/A,3,26245,N/A,3699,N/A
Melampsora larici-populina 98AG31,FungiDB,GenBank,GCA_000204055.1,"Mar 13, 2015",yes,0,462,0,16372,8,0,N/A,16372,6198,1105,747676,no,10,  101.13,GenBank,Melampsora larici-populina,98AG31,N/A,4677,16380,N/A,1184,N/A
Mucor lusitanicus CBS 277.49,FungiDB,GenBank,GCA_001638945.1,2,yes,0,26,0,11719,0,0,4,11719,8002,899,747725,no,10,   36.59,JGI,Mucor lusitanicus,CBS 277.49,N/A,N/A,11719,N/A,659,N/A
Phytophthora parasitica INRA-310,FungiDB,GenBank,GCA_000247585.2,"Mar 23, 2015",yes,0,708,0,23121,119,0,N/A,23121,10599,1435,761204,no,10,   82.39,GenBank,Phytophthora parasitica,INRA-310,N/A,4071,23240,N/A,88611,N/A
Phycomyces blakesleeanus NRRL 1555(-),FungiDB,GenBank,GCA_001638985.2,2,yes,0,80,0,16528,0,0,1,16528,8469,813,763407,no,10,   53.94,JGI,Phycomyces blakesleeanus,NRRL 1555(-),N/A,5336,16528,N/A,57,N/A
Phytophthora capsici LT1534,FungiDB,INSDC,GCA_016618375.1,"Jan 12, 2021",yes,0,782,0,23373,5206,0,N/A,23373,10194,5,763924,no,10,   94.18,GenBank,Phytophthora capsici,LT1534,N/A,6693,28579,N/A,67508,N/A
Aspergillus brasiliensis CBS 101740,FungiDB,GenBank,GCA_001889945.1,"Dec 08, 2016",yes,0,103,0,12989,274,0,N/A,12989,8673,1492,767769,no,10,   35.80,GenBank,Aspergillus brasiliensis,CBS 101740,N/A,N/A,13263,N/A,49285,N/A
Aspergillus tubingensis CBS 134.48,FungiDB,GenBank,GCA_001890745.1,"Dec 07, 2016",yes,0,33,0,12318,274,0,N/A,12318,8332,1509,767770,no,10,   35.15,GenBank,Aspergillus tubingensis,CBS 134.48,N/A,N/A,12592,N/A,48919,N/A
Sordaria macrospora k-hell,FungiDB,GenBank,GCA_000182805.2,"Aug 25, 2015",yes,0,4782,0,10827,484,0,54,10827,6517,1272,771870,yes,10,   39.96,Bochum,Sordaria macrospora,k-hell,N/A,N/A,11311,N/A,2688,N/A
Cenococcum geophilum 1.58,FungiDB,GenBank,GCA_001692895.1,"Jul 26, 2016",yes,0,268,0,14707,38,0,1,14707,6380,790,794803,no,10,  177.56,GenBank,Cenococcum geophilum,1.58,N/A,N/A,14745,N/A,2093,N/A
Exophiala dermatitidis NIH/UT8656,FungiDB,INSDC,GCA_000230625.1,"Mar 17, 2015",yes,0,10,0,9285,71,0,N/A,9285,6540,1180,858893,yes,10,   26.38,GenBank,Exophiala dermatitidis,NIH/UT8656,N/A,N/A,9356,N/A,2270,N/A
Leishmania major strain LV39c5,TriTrypDB,GenBank,GCA_000331345.1,"Jan 16, 2015",no,0,773,36,8971,130,0,4,8971,4139,78,860569,no,10,   32.33,GeneDB,Leishmania major,strain LV39c5,N/A,438,9101,N/A,38189,N/A
Leishmania major strain SD 75.1,TriTrypDB,GenBank,GCA_000250755.2,"Jan 16, 2015",no,0,0,36,8818,113,0,3,8818,4092,77,860570,no,10,   31.24,GeneDB,Leishmania major,strain SD 75.1,N/A,428,8931,N/A,38719,N/A
Theileria orientalis strain Shintoku,PiroplasmaDB,GenBank,GCA_000740895.1,"Sep 6, 2012",yes,0,0,4,4002,56,0,N/A,4002,2429,368,869250,yes,10,    9.01,GenBank,Theileria orientalis,strain Shintoku,N/A,2611,4058,N/A,7053,N/A
Encephalitozoon intestinalis ATCC 50506,MicrosporidiaDB,GenBank,GCA_000146465.1,"Oct 1, 2014",yes,0,0,11,1939,72,0,1,1939,1323,241,876142,no,10,    2.22,GenBank,Encephalitozoon intestinalis,ATCC 50506,N/A,N/A,2011,N/A,267,N/A
Epichloe festucae Fl1,FungiDB,INSDC,GCA_003814445.1,N/A,yes,0,0,7,0,0,0,N/A,N/A,N/A,N/A,877507,yes,10,   35.02,N/A,Epichloe festucae,Fl1,N/A,N/A,N/A,N/A,N/A,N/A
Nematocida parisii ERTm1,MicrosporidiaDB,GenBank,GCA_000250985.1,"Mar 18, 2015",yes,0,65,0,2661,63,0,N/A,2661,1593,214,881290,no,10,    4.07,GenBank,Nematocida parisii,ERTm1,N/A,N/A,2724,N/A,52,652
Entamoeba histolytica DS4-868,AmoebaDB,INSDC,GCA_018466815.1,n/a,no,0,1177,0,0,0,0,N/A,N/A,N/A,N/A,885310,no,10,   19.76,n/a,Entamoeba histolytica,DS4-868,N/A,N/A,N/A,N/A,N/A,N/A
Entamoeba histolytica KU27,AmoebaDB,GenBank,GCA_000338855.1,"Mar 19, 2015",no,0,1796,0,7455,14,0,N/A,7455,4678,607,885311,no,10,   15.27,GenBank,Entamoeba histolytica,KU27,N/A,1227,7469,N/A,690,N/A
Entamoeba histolytica KU48,AmoebaDB,INSDC,GCA_019059535.1,n/a,no,0,1168,0,0,0,0,N/A,N/A,N/A,N/A,885312,no,10,   16.68,n/a,Entamoeba histolytica,KU48,N/A,N/A,N/A,N/A,N/A,N/A
Entamoeba histolytica HM-3:IMSS,AmoebaDB,GenBank,GCA_000346345.1,"Mar 20, 2015",no,0,1880,0,7358,4,0,N/A,7358,4398,556,885315,no,10,   13.83,GenBank,Entamoeba histolytica,HM-3:IMSS,N/A,1131,7362,N/A,1093,N/A
Entamoeba histolytica HM-1:IMSS-A,AmoebaDB,GenBank,GCA_000365475.1,"Mar 21, 2015",no,0,1685,0,6325,3,0,2,6325,3964,512,885318,no,10,   12.29,GenBank,Entamoeba histolytica,HM-1:IMSS-A,N/A,1014,6328,N/A,619,N/A
Entamoeba histolytica HM-1:IMSS-B,AmoebaDB,GenBank,GCA_000344925.1,"Mar 19, 2015",no,0,1938,0,6301,0,0,N/A,6301,3936,519,885319,no,10,   12.78,GenBank,Entamoeba histolytica,HM-1:IMSS-B,N/A,959,6301,N/A,567,N/A
Albugo laibachii Nc14,FungiDB,Ensembl,"Mar 02, 2016","Mar 02, 2016",yes,0,3827,0,14449,180,644,N/A,13805,5570,837,890382,no,10,   32.77,Ensembl,Albugo laibachii,Nc14,N/A,N/A,14629,N/A,166,N/A
Encephalitozoon hellem ATCC 50504,MicrosporidiaDB,GenBank,GCA_000277815.3,"Oct 01, 2014",yes,0,0,12,1928,78,0,1,1928,1328,242,907965,no,10,    2.25,GenBank,Encephalitozoon hellem,ATCC 50504,N/A,N/A,2006,N/A,287,N/A
Albugo candida 2VRR,FungiDB,Saskatchewan,2014-05-13,2014-05-13,yes,0,252,0,15824,72,4,N/A,15824,4485,N/A,911350,no,10,   34.56,Saskatchewan,Albugo candida,2VRR,N/A,5671,15896,N/A,2,N/A
Trypanosoma cruzi JR cl. 4,TriTrypDB,GenBank,GCA_000331405.1,n/a,no,14752,560,0,0,0,0,N/A,N/A,N/A,N/A,914063,no,10,   41.48,n/a,Trypanosoma cruzi,JR cl. 4,N/A,N/A,N/A,N/A,N/A,N/A
Leishmania mexicana MHOM/GT/2001/U1103,TriTrypDB,GenBank,GCA_000234665.4,"May 28, 2016",yes,554,0,34,8144,533,102,273,8144,6188,686,929439,no,10,   32.11,GeneDB,Leishmania mexicana,MHOM/GT/2001/U1103,N/A,N/A,8677,N/A,35574,1662
Toxoplasma gondii VAND,ToxoDB,GenBank,GCA_000224845.2,"Aug 15, 2014",no,0,2137,0,9255,171,0,1,9255,5556,1542,933077,yes,10,   64.27,GenBank,Toxoplasma gondii,VAND,N/A,5191,9426,N/A,8180,N/A
Toxoplasma gondii RUB,ToxoDB,GenBank,GCA_000224805.2,"Aug 13, 2014",no,0,2424,0,10027,186,0,N/A,10027,5930,1652,935652,yes,10,   64.96,GenBank,Toxoplasma gondii,RUB,N/A,5340,10213,N/A,9207,N/A
Nematocida parisii ERTm3,MicrosporidiaDB,GenBank,GCA_000190615.1,"Mar 13, 2015",no,0,53,0,2726,62,0,N/A,2726,1594,213,935791,no,10,    4.15,GenBank,Nematocida parisii,ERTm3,N/A,N/A,2788,N/A,52,N/A
Toxoplasma gondii MAS,ToxoDB,GenBank,GCA_000224865.2,"Aug 15, 2014",no,0,2180,0,10005,171,0,N/A,10005,5967,1663,943118,yes,10,   63.32,GenBank,Toxoplasma gondii,MAS,N/A,5354,10176,N/A,7045,N/A
Toxoplasma gondii p89,ToxoDB,GenBank,GCA_000224885.2,"Aug 13, 2014",no,0,2150,0,9701,173,0,N/A,9701,5801,1630,943119,yes,10,   64.16,GenBank,Toxoplasma gondii,p89,N/A,5276,9874,N/A,7695,N/A
Toxoplasma gondii TgCATBr9,ToxoDB,GenBank,GCA_000224825.2,"Apr 20, 2018",no,0,2452,0,9834,173,0,N/A,9834,5850,1243,943120,no,10,   64.58,GenBank,Toxoplasma gondii,TgCATBr9,N/A,5246,10007,N/A,5291,N/A
Toxoplasma gondii TgCATBr5,ToxoDB,GenBank,GCA_000259835.1,"Aug 26, 2011",no,6995,0,0,0,0,0,N/A,N/A,N/A,N/A,943121,no,10,   61.64,GenBank,Toxoplasma gondii,TgCATBr5,N/A,N/A,N/A,N/A,N/A,N/A
Toxoplasma gondii CAST,ToxoDB,GenBank,GCA_000256705.2,"Dec 04, 2018",no,0,2656,0,9497,200,0,N/A,9497,5667,1541,943122,yes,10,   64.89,GenBank,Toxoplasma gondii,CAST,N/A,5224,9697,N/A,5630,N/A
Toxoplasma gondii FOU,ToxoDB,GenBank,GCA_000224905.2,"Aug 13, 2014",no,0,2869,0,10117,180,0,N/A,10117,6009,1682,943167,yes,10,   64.53,GenBank,Toxoplasma gondii,FOU,N/A,5341,10297,N/A,8903,N/A
Vavraia culicis subsp. floridensis,MicrosporidiaDB,GenBank,GCA_000192795.1,"Mar 13, 2015",yes,0,379,0,2773,52,0,N/A,2773,1564,229,948595,no,10,    6.12,GenBank,Vavraia culicis,subsp. floridensis,N/A,N/A,2825,N/A,41,N/A
Leishmania donovani BPK282A1,TriTrypDB,GenBank,GCA_000227135.2,"May 28, 2016",yes,0,0,36,7969,166,54,56,7969,5918,190,981087,no,10,   32.44,GeneDB,Leishmania donovani,BPK282A1,N/A,N/A,8135,N/A,38191,4087
Encephalitozoon cuniculi EC1,MicrosporidiaDB,GenBank,GCA_000221285.2,"Sep 29, 2011",no,0,0,12,1847,51,0,1,1847,1074,122,986730,no,10,    2.24,ubc,Encephalitozoon cuniculi,EC1,N/A,18,1898,N/A,85,N/A
Encephalitozoon cuniculi EC2,MicrosporidiaDB,GenBank,GCA_000221265.2,"Sep 29, 2011",no,0,0,16,1851,51,0,1,1851,1074,124,989654,no,10,    2.24,ubc,Encephalitozoon cuniculi,EC2,N/A,18,1902,N/A,89,N/A
Encephalitozoon cuniculi EC3,MicrosporidiaDB,GenBank,GCA_000221245.2,"Sep 29, 2011",no,0,0,15,1845,53,2,1,1845,1077,124,989655,no,10,    2.24,ubc,Encephalitozoon cuniculi,EC3,N/A,18,1898,N/A,92,N/A
Vittaforma corneae ATCC 50505,MicrosporidiaDB,GenBank,GCA_000231115.1,"Mar 17, 2015",yes,0,220,0,2239,54,0,N/A,2239,1442,215,993615,no,10,    3.21,GenBank,Vittaforma corneae,ATCC 50505,N/A,N/A,2293,N/A,2716,N/A
Sporisorium reilianum SRZ2,FungiDB,GenBank,GCA_000230245.1,"Feb 27, 2015",yes,21,0,23,6673,118,0,1,6673,4886,923,999809,yes,10,   18.48,GenBank,Sporisorium reilianum,SRZ2,N/A,N/A,6791,N/A,11224,N/A
Aedes aegypti LVP_AGWG,VectorBase,INSDC,GCA_002204515.1,AaegL5.3,yes,0,2306,3,14718,5086,382,77,14718,11097,1499,N/A,yes,10, 1278.73,VectorBase,Aedes aegypti,LVP_AGWG,N/A,12192,19804,13701,N/A,N/A
Aedes albopictus C6/36 cell line,VectorBase,INSDC,GCF_001876365.2,"Feb 03, 2017",no,0,2434,0,28638,10105,885,N/A,28638,18412,537,N/A,yes,10, 2247.31,RefSeq,Aedes albopictus,C6/36 cell line,N/A,266,38743,N/A,N/A,N/A
Aedes albopictus Foshan FPA,VectorBase,INSDC,GCA_006496715.1,AalbFP1.0,no,0,2196,0,26843,13638,4108,N/A,26843,17033,1732,N/A,no,10, 2538.37,RefSeq,Aedes albopictus,Foshan FPA,N/A,259,40481,N/A,N/A,N/A
Aedes albopictus Foshan,VectorBase,INSDC,GCA_001444175.1,AaloF1.2,yes,0,154782,0,17535,759,0,N/A,17535,12087,1178,N/A,no,10, 1923.48,VectorBase,Aedes albopictus,Foshan,N/A,155,18294,N/A,N/A,N/A
Anopheles albimanus STECLA,VectorBase,INSDC,GCA_000349125.2,AalbS2.8,yes,0,196,5,12294,322,0,N/A,12294,8568,1305,N/A,no,10,  173.34,VectorBase,Anopheles albimanus,STECLA,N/A,1244,12616,N/A,N/A,N/A
Anopheles albimanus STECLA 2020,VectorBase,INSDC,GCF_013758885.1,"Aug 22, 2020",no,0,4,3,11565,1380,180,N/A,11565,8193,1097,N/A,no,10,  172.60,RefSeq,Anopheles albimanus,STECLA 2020,N/A,1476,12945,N/A,N/A,N/A
Alternaria alternata SRC1lrK2f,FungiDB,INSDC,GCA_001642055.1,"May 11, 2016",yes,0,79,0,13466,111,5,N/A,13466,8692,1120,N/A,no,10,   32.99,GenBank,Alternaria alternata,SRC1lrK2f,N/A,174,13577,N/A,25912,N/A
Anopheles arabiensis DONGOLA 2021,VectorBase,INSDC,GCF_016920715.1,"Mar 25, 2021",no,0,98,3,12601,3162,474,N/A,12601,8919,1140,N/A,yes,10,  256.82,RefSeq,Anopheles arabiensis,DONGOLA 2021,N/A,N/A,15763,N/A,N/A,N/A
Anopheles arabiensis Dongola,VectorBase,INSDC,GCA_000349185.1,AaraD1.12,yes,0,1214,0,13271,378,0,N/A,13271,9273,1431,N/A,no,10,  246.57,VectorBase,Anopheles arabiensis,Dongola,N/A,N/A,13649,N/A,N/A,N/A
Aphanomyces astaci strain APO3,FungiDB,GenBank,GCA_000520075.1,"Jan 14, 2014",yes,0,835,0,19119,465,0,3,19119,10477,1389,N/A,no,10,   75.84,GenBank,Aphanomyces astaci,strain APO3,N/A,N/A,19584,N/A,4158,N/A
Acanthamoeba astronyxis Unknown,AmoebaDB,GenBank,GCA_000826245.1,n/a,yes,0,98248,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   83.43,GenBank,Acanthamoeba astronyxis,Unknown,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles atroparvus EBRO,VectorBase,INSDC,GCA_000473505.1,AatrE3.2,yes,0,1315,5,13718,323,0,N/A,13717,9308,1342,N/A,no,10,  225.30,VectorBase,Anopheles atroparvus,EBRO,N/A,N/A,14041,N/A,N/A,N/A
Acanthamoeba castellanii Ma,AmoebaDB,GenBank,GCA_000826485.1,n/a,no,0,221748,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  115.05,GenBank,Acanthamoeba castellanii,Ma,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles christyi ACHKN1017,VectorBase,INSDC,GCA_000349165.1,AchrA1.8,yes,0,30369,0,10872,337,0,N/A,10872,7672,1184,N/A,no,10,  172.66,VectorBase,Anopheles christyi,ACHKN1017,N/A,N/A,11209,N/A,N/A,N/A
Anopheles coluzzii MOPTI,VectorBase,INSDC,GCF_016920705.1,"Mar 25, 2021",no,0,196,3,12592,1961,206,N/A,12592,8432,1173,N/A,yes,10,  273.42,RefSeq,Anopheles coluzzii,MOPTI,N/A,N/A,14553,N/A,N/A,N/A
Anopheles coluzzii Mali-NIH,VectorBase,INSDC,GCA_000150765.1,AcolM1.8,no,0,10521,0,14465,331,0,N/A,14464,9416,828,N/A,no,10,  224.42,VectorBase,Anopheles coluzzii,Mali-NIH,N/A,N/A,14796,N/A,N/A,N/A
Anopheles coluzzii Ngousso,VectorBase,INSDC,GCA_004136515.2,AcolN1.2,yes,0,205,0,12766,469,0,N/A,12766,9880,1472,N/A,yes,10,  251.41,VectorBase,Anopheles coluzzii,Ngousso,N/A,N/A,13235,10662,N/A,N/A
Acanthamoeba sp Galka,AmoebaDB,GenBank,GCA_000826505.1,n/a,yes,0,224137,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  115.61,GenBank,Acanthamoeba sp.,Galka,N/A,N/A,N/A,N/A,N/A,N/A
Acanthamoeba sp Incertae sedis,AmoebaDB,GenBank,GCA_000826365.1,n/a,no,0,24098,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,   79.54,GenBank,Acanthamoeba sp.,Incertae_sedis,N/A,N/A,N/A,N/A,N/A,N/A
Acanthamoeba sp T4b-type,AmoebaDB,GenBank,GCA_000826345.1,n/a,no,0,224482,0,0,0,0,N/A,N/A,N/A,N/A,N/A,no,10,  120.42,GenBank,Acanthamoeba sp.,T4B-type,N/A,N/A,N/A,N/A,N/A,N/A
Anopheles culicifacies A-37,VectorBase,INSDC,GCA_000473375.1,AculA1.7,yes,0,16162,0,14358,371,0,N/A,14358,9584,1415,N/A,no,10,  203.00,VectorBase,Anopheles culicifacies,A-37,N/A,N/A,14729,N/A,N/A,N/A
